Database	Term Name	Term ID	Adjusted p-value	Gene intersections
Human Phenotype Ontology	Abnormal conjugate eye movement	HP:0000549	0.013870286	"AFF3,AGO2,ASXL3,CASZ1,CHD7,CREBBP,FMR1,GNAS,HMGB3,HOXA13,KDM1A,LARGE1,LMX1B,MED13L,NKX6-2,SIK1,SLC6A8,USP7,YY1,ZNF423,ADARB1,CBL,SKI"
Human Phenotype Ontology	Finger clinodactyly	HP:0040019	0.018357911	"AGO2,CASZ1,CHD7,CREBBP,HOXA13,KDM1A,LMX1B,MAF,USP7,AFF2,CBL,SKI,XYLT1"
Human Phenotype Ontology	Abnormal dermatoglyphics	HP:0007477	0.028176486	"AFF3,ASXL3,CHD7,CREBBP,EHMT1,HOXA13,KCNK9,LMX1B,YY1,CBL,XYLT1"
Human Phenotype Ontology	Abnormal 5th finger morphology	HP:0004207	0.028683953	"AGO2,CASZ1,CHD7,CREBBP,GNAS,HOXA13,KDM1A,LMX1B,MAF,USP7,AFF2,CBL,SKI,XYLT1"
Human Phenotype Ontology	Neurodevelopmental delay	HP:0012758	0.028881205	"AFF3,AGO2,ASXL3,CASZ1,CHD7,CREBBP,CUX1,EHMT1,FMR1,GNAS,HMGB3,KCNK9,KDM1A,KMT2B,KMT5B,LARGE1,LMX1B,MAF,MED13L,NKX6-2,POU3F3,SIK1,SLC6A8,TENT5A,USP7,YY1,ZNF423,ADARB1,AFF2,CBL,SKI,TBC1D7,XYLT1"
Human Phenotype Ontology	Abnormal testis morphology	HP:0000035	0.029917943	"AGO2,ASXL3,CASZ1,CHD7,CREBBP,EHMT1,FMR1,GNAS,GRIP1,KDM1A,KMT5B,LARGE1,LMX1B,MAF,MED13L,POU3F3,USP7,YY1,ADARB1,CBL,SKI"
Human Phenotype Ontology	Abnormality of male external genitalia	HP:0000032	0.031176615	"AGO2,ASXL3,CASZ1,CHD7,CREBBP,EHMT1,FMR1,GNAS,GRIP1,HOXA13,KDM1A,KMT5B,LARGE1,LMX1B,MAF,MED13L,POU3F3,SIK1,USP7,YY1,ADARB1,CBL,SKI"
Human Phenotype Ontology	Abnormality of the calvaria	HP:0002683	0.031491083	"AGO2,ASXL3,CASZ1,CREBBP,EHMT1,FMR1,GNAS,GRIP1,KCNK9,KDM1A,LMX1B,MAF,MED13L,TENT5A,USP7,YY1,ZNF423,ADARB1,CBL,SKI,TBC1D7"
Human Phenotype Ontology	Motor stereotypy	HP:0000733	0.034884683	"AFF3,ASXL3,CASZ1,CREBBP,CUX1,EHMT1,FMR1,SIK1,SLC6A8,AFF2,SKI"
Human Phenotype Ontology	Abnormality of higher mental function	HP:0011446	0.039394914	"AFF3,AGO2,ASXL3,CASZ1,CHD7,CREBBP,CUX1,DIP2B,EHMT1,FMR1,GNAS,GRIP1,HMGB3,JPH3,KCNK9,KDM1A,KMT2B,KMT5B,LARGE1,LMX1B,MAF,MED13L,NKX6-2,POU3F3,SIK1,SLC6A8,TENT5A,USP7,YY1,ZNF423,ADARB1,AFF2,CBL,SKI,TBC1D7,XYLT1"
Human Phenotype Ontology	Deviation of the hand or of fingers of the hand	HP:0009484	0.048017068	"AGO2,ASXL3,CASZ1,CHD7,CREBBP,HOXA13,KDM1A,LMX1B,MAF,USP7,AFF2,CBL,SKI,XYLT1"
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
